template,n_creators,n_titles,example,creators,groups,n_groups,n_organisations,within_group
<ENT> 's <ENT> in <ENT>,10,13,AOC's DISASTROUS Foreign Policy Debut In Munich,@DropSiteNews; @PerunAU; @RobertGouveiaEsq; @TheDamageReport; @breakingpoints; @chinainsights-r2w; @clayandbuck; @judgingfreedom; @markets; @nypost,left; neutral; right,3,10,False
<ENT> w/ <ENT>,8,35,Trump’s Ballroom Obsession Has Gone Totally Off the Rails (w/ Ben Terris),@AndrewKlavan; @BadFaithPodcast; @OwenReport; @TheAdamCarollaShow1; @TheHumanistReport; @bulwarkmedia; @fastpoliticspodcast; @thejimmydoreshow,left; neutral; right,3,8,False
<ENT> <ENT> 's <ENT> <ENT>,8,10,Bill Kristol: MAGA's Grievance Culture | The Bulwark Podcast,@Firstpost; @GrahamAllen; @JamarlThomas; @TheMichaelCohenShow; @TimesNowWorld; @bulwarkmedia; @judgingfreedom; @markets,left; neutral; right,3,8,False
<ENT> on <ENT> 's <ENT>,8,10,Aaron Rodgers Torched Fauci on ESPN's Own Air,@BenShapiro; @ClubRandomPodcast; @JesseKellyDC; @dollemore; @evanjmez; @fastpoliticspodcast; @marclamonthillnetwork; @markets,left; neutral; right,3,8,False
<ENT> vs. <ENT>,8,8,Ben Shapiro vs. Fortnite,@BenShapiro; @HasanAbi; @NewsmaxTV; @TheAdamCarollaShow1; @TheBrianKilmeadeShow; @deanwithrs; @lonerboxlive; @thomhartmann,left; right,2,8,False
the truth about <ENT>,8,8,The truth about Blizzard,@AsmonTV; @GrahamAllen; @RealAmericasVoice; @TheQuartering; @TheYoungTurks; @katmabu; @thewarningwithsteveschmidt; @winston_marshall,left; right,2,8,False
<ENT> on live tv,7,10,Epstein Victim-Smearer Humiliated On Live TV,@FarronBalanced; @PTLRadioShow; @TheDonLemonShow; @TheMajorityReport; @TheMichaelCohenShow; @adammockler; @ponderingpolitics,left,1,7,True
<ENT> under the bus,7,8,Dems Throw Trans Folks Under The Bus,@FarronBalanced; @JackCocchiarellaShow; @SMN; @SabbySabs; @TheDamageReport; @TheMajorityReport; @TheYoungTurks,left,1,6,True
<ENT> is here,7,7,The Radical Left’s Hostile Takeover Is Here,@BenShapiro; @EzraKleinShow; @JacksonHinkleOfficial; @SecondThought; @Xanderhal; @glennbeck; @msnow,left; neutral; right,3,7,False
<ENT> destroys <ENT>,6,7,Jesse Watters DESTROYS Abdul El-Sayed,@ActualJusticeWarrior; @PTLRadioShow; @SabbySabs; @TheDonLemonShow; @TheSerfTimes; @chicksonright,left; right,2,6,False
<ENT> ft # <ENT>,6,7,Catholic & Protestant Debunk Islam & Atheist Arguments | ft. Billy Hallowell,@Channel5YouTube; @MichaelKnowles; @RileyGaines; @TheJoyReidShow; @TimDillonShow; https://rumble.com/c/nickjfuentes,left; neutral; right,3,6,False
<ENT> against <ENT>,6,6,Ben Shapiro Lobs WILD Accusation Against Dave Smith,@LegalAFMTN; @RebelHQ; @RobertGouveiaEsq; @SabbySabs; @TheYoungTurks; @markets,left; neutral; right,3,5,False
<ENT> off on <ENT>,6,6,Adam Conover GOES OFF on Tech Companies & A.I.,@DueDissidence; @MyronGainesX; @PTLRadioShow; @SabbySabs; @TheDonLemonShow; @lovettorleaveitpodcast,left; right,2,6,False
<ENT> senator <ENT>,6,6,Republican Senator SLAMS Trump,@JackCocchiarellaShow; @RestPoliticsUS; @TheYoungTurks; @TimesNowWorld; @nypost; @thomhartmann,left; neutral; right,3,6,False
<ENT> panic as <ENT>,5,13,Republicans PANIC as Reporters Fact-Check Them LIVE!,@DrSteveTurleyTV; @FarronBalanced; @RebelHQ; @TheDamageReport; @aaronparnas1,left; right,2,4,False
<ENT> 's <ENT> <ENT> <ENT>,5,11,Trump's Blasphemous Social Media Weekend; JD Vance Fails; Orban Down | MR Live,@BlazeTV; @DemocracyNow; @Firstpost; @TheMajorityReport; @markets,left; neutral; right,3,5,False
<ENT> reacts to <ENT>,5,11,Matt Walsh Reacts To CRINGEY New Star Trek Show,@CBSNews; @HasanabiClips; @MattWalsh; @PTLRadioShow; @fightbackpodcast,left; neutral; right,3,5,False
<ENT> is cooked,5,9,Dave Smith | Pam Bondi is Cooked | Part Of The Problem 1360,@LIVESNEAKO; @PartOfTheProblem; @TheMajorityReport; @TimcastIRL; @TimcastNews,left; neutral; right,3,4,False
<ENT> 's <ENT> #,5,7,GOP's Ugly Scandal Keeps Getting Worse...,@JacksonHinkleOfficial; @LegalAFMTN; @OwenReport; @TheMajorityReport; @markets,left; neutral,2,5,False
<ENT> 's <ENT> on <ENT>,5,6,CNN's DISGUSTING Hitpiece On Hasan,@DropSiteNews; @TechCrunch; @Vaush; @markets; @nypost,left; neutral; right,3,5,False
<ENT> in <ENT> 's <ENT>,5,6,Key Advice For Fathers in Today's Feminized Culture,@MegynKelly; @TheYoungTurks; @markets; @nypost; @thehill,left; neutral; right,3,5,False
<ENT> just got worse,5,6,Trump's World Cup Nightmare Just Got Worse,@JackCocchiarellaShow; @RealAmericasVoice; @SavSays; @TheAdamCarollaShow1; @TheDamageReport,left; right,2,5,False
<ENT> on trump,5,6,MAGA Bros Drop Final Bomb on Trump,@FarronBalanced; @adammockler; @harryjsisson; @podsaveamerica; @ponderingpolitics,left,1,5,True
<ENT> ’s <ENT> <ENT>,5,6,TLC’S Rozanda “Chilli” Thomas Exposed For Being A Trump/Maga Supporter!,@Firstpost; @OwenJonesTalks; @TheRealTabithaSpeaks; @oann; @timesofindia,left; neutral; right,3,5,False
<ENT> gets <ENT>,5,5,Linda McMahon Gets COOKED As Dems Reveal Her School Disaster,@RealAmericasVoice; @RebelHQ; @SabbySabs; @TheMichaelCohenShow; @The_Crucible,left; right,2,5,False
<ENT> iran <ENT>,5,5,Trump EXTENDS Iran Ultimatum + DHS Shutdown Causes TSA CHAOS | PBD #764,@JamarlThomas; @OwenJonesTalks; @PBDPodcast; @katiephangnews; @markets,left; neutral; right,3,5,False
<ENT> is dead,5,5,KHAMENEI IS DEAD,@AsmonTV; @SecularTalk; @TimcastIRL; @TimcastNews; @Vaush,left; right,2,4,False
<ENT> is falling apart,5,5,MAGA IS FALLING APART,@ActualJusticeWarrior; @BrittanyVenti; @HasanAbi; @TheVaushPit; @thewarningwithsteveschmidt,left; neutral; right,3,5,False
<ENT> makes <ENT>,5,5,Candace Owens Accusation Makes Dave Rubin Nervous,@JesseKellyDC; @TheMajorityReport; @adammockler; @destinyhqclips; @dollemore,left; neutral; right,3,5,False
<ENT> the truth about <ENT>,5,5,Trump Leaks THE TRUTH about Karoline,@LIVESNEAKO; @TheBrianKilmeadeShow; @adammockler; @harryjsisson; @thomhartmann,left; neutral; right,3,5,False
<ENT> to <ENT> after <ENT>,5,5,Karmelo Anthony Sentenced To 35 YEARS After Murder Conviction!,@AnthonyBrianLogan; @MyronGainesX; @RealAmericasVoice; @Tim_Black; @oann,right,1,5,True
it happened again #,5,5,It happened again...,@HasanAbi; @LiberalHivemind; @RebelNewsOnline; @TheQuartering; @adammockler,left; right,2,5,False
<ENT> bomb on <ENT>,4,6,Witness Drops BOMB on Trump ICE SHOOTING,@adammockler; @deanwithrs; @harryjsisson; @ponderingpolitics,left,1,4,True
<ENT> is done,4,6,COLBERT IS DONE,@JacksonHinkleOfficial; @TimcastIRL; @franifio; @thewarningwithsteveschmidt,left; neutral; right,3,4,False
it 's <ENT>,4,6,It's Time For A Real Conversation,@HasanReactionsfanTwo; @RealDanBongino; @hutch; https://rumble.com/c/russellbrand,left; neutral; right,3,4,False
it 's over #,4,6,IT'S OVER..,@AsmonTV; @HasanAbi; @JacksonHinkleOfficial; @destiny,left; neutral; right,3,4,False
it 's over for <ENT>,4,6,It's OVER For Pete Hegseth!!,@ActualJusticeWarrior; @HasanReactionsfanTwo; @JackCocchiarellaShow; @harryjsisson,left; right,2,4,False
oh my god #,4,6,Oh my god..,@AsmonTV; @HasanAbi; @JackCocchiarellaShow; @TheQuartering,left; right,2,4,False
trump loses it as <ENT>,4,6,Trump LOSES IT as Greenland REBUKES HIM,@MeidasTouch; @TheDamageReport; @adammockler; @katiephangnews,left,1,3,True
<ENT> <ENT> <ENT> w/ <ENT>,4,5,Trump EXTENDS Iran Deadline + Nuclear Suicide Vests? w/ Sean Hannity | PBD #766,@BadFaithPodcast; @PBDPodcast; @TheMajorityReport; @VivaFrei,left; right,2,4,False
<ENT> during <ENT>,4,5,Trump Completely BOMBS During Awkward Speech,@JackCocchiarellaShow; @LiberalHivemind; @dollemore; @podsaveamerica,left; right,2,4,False
<ENT> is burning,4,5,Europe Is Burning,@NYTPodcasts; @NovaraMedia; @ThePodcastoftheLotusEaters; @TimcastIRL,left; right,2,4,False
<ENT> releases <ENT> batch of ufo files,4,5,Pentagon releases second batch of UFO files,@ABCNews; @FoxNewsChannelClips; @NBCNews; @NewsNation,neutral; right,2,4,False
<ENT> turns on <ENT>,4,5,Joe Rogan COMPLETELY TURNS On Bernie Sanders & SMEARS HIM!!! | The Kyle Kulinski Show,@FarronBalanced; @RealAmericasVoice; @SecularTalk; @deanwithrs,left; right,2,4,False
<ENT> vs. <ENT> <ENT>,4,5,Ben vs. Pro-America TikToks: America 250!,@BenShapiro; @MichaelKnowles; @NewsmaxTV; @newyorker,neutral; right,2,3,False
breaking <ENT> in <ENT>,4,5,BREAKING: Second Fatal ICE Shooting in Minneapolis,@SabbySabs; @StatusCoup; @aaronparnas1; @bulwarkmedia,left,1,4,True
this is insane #,4,5,THIS IS INSANE..,@AsmonTV; @JacksonHinkleOfficial; @TimcastNews; https://rumble.com/c/russellbrand,neutral; right,2,4,False
what happened to <ENT>,4,5,What Happened To Karoline Leavitt?,@RebelNewsOnline; @SabbySabs; @TheMajorityReport; @bbrettcooper,left; right,2,4,False
<ENT> 's <ENT> # <ENT>,4,4,"Ukraine's Naval Blitz - The Azov Sea Escalation, Russian Retaliation & Export Economics",@Forbes; @PerunAU; @TimesNowWorld; @markets,left; neutral,2,4,False
<ENT> 's <ENT> and <ENT>,4,4,Trump's Greenland Gambit and The State of the Global Chessboard,@BlazeTV; @nationalreview; @revleftradio; @thomhartmann,left; right,2,4,False
<ENT> <ENT> <ENT> 's <ENT>,4,4,[M] Trump Launches Tariff War on SCOTUS | Dumb Puck Kash Patel | GOP's Anti-AOC Elitism,@TheDamageReport; @TimesNowWorld; @judgingfreedom; https://rumble.com/c/BannonsWarRoom,left; neutral; right,3,4,False
<ENT> admits <ENT>,4,4,“Consumers Are The LAST Of Our Concerns!” ADMITS Trump Economic Advisor! ,@JackCocchiarellaShow; @NovaraMedia; @franifio; @thejimmydoreshow,left; neutral,2,4,False
<ENT> and <ENT> 's <ENT>,4,4,"RFK And Trump's ""Fleshy Dominoes""",@TheJoyReidShow; @TheMajorityReport; @bbrettcooper; @thewarningwithsteveschmidt,left; right,2,4,False
<ENT> as <ENT> collapses,4,4,Trump Official Makes EMBARRASSING ADMISSION as DEPARTMENT COLLAPSES!!,@JackCocchiarellaShow; @LegalAFMTN; @MeidasTouch; @harryjsisson,left,1,3,True
<ENT> calls <ENT>,4,4,Kamala Harris CALLS Zohran Mamdani!,@SabbySabs; @TheYoungTurks; @oann; @wethefifth,left; neutral; right,3,4,False
<ENT> does it again,4,4,AOC Does It Again,@FleccasTalks; @RealDanBongino; @TheHumanistReport; @TheMajorityReport,left; right,2,4,False
<ENT> gets worse,4,4,Trump HIDES From Doctors As Health Scare GETS WORSE,@JackCocchiarellaShow; @TheDamageReport; @TheQuartering; @adammockler,left; right,2,4,False
<ENT> humiliated after <ENT>,4,4,Fox News Host HUMILIATED After Trump Report FALLS APART,@DueDissidence; @FarronBalanced; @PTLRadioShow; @podsaveamerica,left,1,4,True
<ENT> in <ENT> history,4,4,The Dumbest Protest in American History,@LegalEagle; @StevenCrowder; @TheMajorityReport; @nypost,left; right,2,4,False
<ENT> in real time,4,4,Trump Rescue Mission NARRATIVE COLLAPSING in Real Time?!!,@FarronBalanced; @MeidasTouch; @RebelHQ; @thedavidpakmanshow,left,1,4,True
<ENT> press briefing,4,4,White House press briefing,@ABCNews; @CNN; @markets; https://rumble.com/c/BannonsWarRoom,left; neutral; right,3,4,False
<ENT> says <ENT> is <ENT>,4,4,Trump Lawyer Says J6 Slush Fund is TRUMP BUILDING PRIVATE TERRORIST ARMY,@PTLRadioShow; @dollemore; @markets; @thejimmydoreshow,left; neutral,2,4,False
<ENT> talking about,4,4,The Gas Station Drug Nobody’s Talking About,@BenShapiro; @judgingfreedom; @marklevinshow; @thomhartmann,left; right,2,4,False
<ENT> ’s <ENT> in <ENT> <ENT>,4,4,MAGA’s Antifa Narrative FALLS APART In One Clip,@Firstpost; @PTLRadioShow; @TimesNowWorld; @timesofindia,left; neutral,2,3,False
president <ENT> <ENT>,4,4,President Trump Endorses Jake Paul,@MichaelKnowles; @glennbeck; @oann; https://rumble.com/c/BannonsWarRoom,right,1,4,True
this changes everything #,4,4,This changes everything..,@AsmonTV; @CashJordan; @DestinyDGGClips; https://rumble.com/c/russellbrand,right,1,4,True
<ENT> 's <ENT> # <ENT> <ENT>,3,6,"Iran's Anti-Ship Missile HITS US Vessel, Trump & Israel CRUMBLE | Stanislav Krapivnik",@DannyHaiphongYT; @Firstpost; @markets,left; neutral,2,3,False
<ENT> is done #,3,6,Sykkuno is done..,@AsmonTV; @HasanAbi; @LiberalHivemind,left; right,2,3,False
<ENT> part <ENT>,3,6,“The Evolution of Gucci Mane” Part 2,@ABCNews; @Channel5YouTube; @RufoandLomez,left; neutral; right,3,3,False
live president <ENT> delivers remarks at <ENT>,3,6,LIVE: President Trump delivers remarks at the Great American State Fair,@NBCNews; @msnow; @nypost,left; neutral; right,3,3,False
<ENT> ends <ENT>,3,5,Somali Fraud ENDS Tim Walz,@ActualJusticeWarrior; @JackCocchiarellaShow; @JacksonHinkleOfficial,left; neutral; right,3,3,False
<ENT> what you need to know,3,5,The Joe Kent Scandal —  What You Need to Know | Ep 240,@ABCNews; @lizwheeler; @markets,neutral; right,2,3,False
live trump participates in <ENT>,3,5,LIVE: Trump participates in the Faith & Freedom Coalition Conference,@AssociatedPress; @NBCNews; @msnow,left; neutral,2,3,False
<ENT> <ENT> vs. <ENT>,3,4,“Politics Is Exhausting” — Alex Stein vs. Barstool Fans + Studio Banter,@RealAmericasVoice; @RobertGouveiaEsq; https://rumble.com/c/BannonsWarRoom,right,1,3,True
<ENT> attacks <ENT>,3,4,IRAN ATTACKS JORDAN,@HasanAbi; @PoliticsGirl; @TheRealTabithaSpeaks,left,1,3,True
<ENT> caught in <ENT>,3,4,Pam Bondi CAUGHT in Epstein BOMBSHELL,@RealAmericasVoice; @briantylercohen; @podsaveamerica,left; right,2,3,False
<ENT> is coming,3,4,DIGITAL ID IS COMING,@DylanBurnsLIVE; @RobertGouveiaEsq; @TimcastIRL,left; right,2,3,False
<ENT> is gone,3,4,Lindsey Graham Is Gone! 🐞,@JackCocchiarellaShow; @Xanderhal; @thomhartmann,left,1,3,True
<ENT> takes on <ENT>,3,4,India Takes on the Shadow Fleet (Bonus Video),@SkyNews; @ZeihanonGeopolitics; @newyorker,left; neutral,2,3,False
<ENT> unloads on <ENT>,3,4,Joe Walsh UNLOADS On Trump In Viral Interview,@AfterPartyEmily; @PTLRadioShow; @RealAmericasVoice,left; right,2,3,False
holy sh*t #,3,4,HOLY SH*T..,@AsmonTV; @JacksonHinkleOfficial; @LiberalHivemind,neutral; right,2,3,False
why <ENT> 's <ENT>,3,4,Why Trump's Iran War Is An Economic Catastrophe,@Firstpost; @RestPoliticsUS; @timesofindia,left; neutral,2,3,False
<ENT> # again,3,3,Trump Threatens War Crimes ... AGAIN!,@GlennKirschner2; @GrahamAllen; @ZeihanonGeopolitics,left; neutral; right,3,3,False
<ENT> # again #,3,3,Trump Takes Credit for Walmart’s Sale. Again.,@NYTPodcasts; @bulwarkmedia; @thomhartmann,left,1,3,True
<ENT> # here 's why,3,3,John Bolton Confesses...Here's Why,@RestPoliticsUS; @TheDonLemonShow; @TheYoungTurks,left,1,3,True
<ENT> 's <ENT> <ENT> <ENT> <ENT>,3,3,Trump's $1.7 Billion “Anti-Weaponization Fund” STUNS Americans,@Firstpost; @TheYoungTurks; @markets,left; neutral,2,3,False
<ENT> 's <ENT> as <ENT> <ENT>,3,3,Iran's Missiles STRIKE Three US Destroyers as Trump Restarts WAR | Andrei Martyanov,@DannyHaiphongYT; @NewsmaxTV; @RedactedNews,left; right,2,3,False
<ENT> <ENT> 's <ENT> <ENT> <ENT>,3,3,US Iran War News LIVE: Trump's Closest Gulf Allies Turn Against US' Iran War Strategy | World News,@Firstpost; @TimesNowWorld; https://rumble.com/c/TheAlexJonesShowLive,neutral; right,2,3,False
<ENT> <ENT> 's <ENT> in <ENT>,3,3,Carl Zha | Trump's Iran Retreat & Putin's Move in China,@Firstpost; @JamarlThomas; @TimesNowWorld,left; neutral,2,3,False
<ENT> <ENT> again,3,3,Phil Giraldi  :  Trump Strikes Out Again,@Forbes; @TheDonLemonShow; @judgingfreedom,left; neutral,2,3,False
<ENT> <ENT> ’s <ENT>,3,3,Pepe Escobar: Iran’s “Game-Changing” Move That Could Tank US Economy,@ThePodcastoftheLotusEaters; @TimesNowWorld; @usefulidiots,left; neutral; right,3,3,False
<ENT> addresses <ENT>,3,3,"John Hinckley Jr. Addresses ""Erotomaniac"" Question",@MegynKelly; @NewsNation; @SkyNews,left; neutral; right,3,3,False
<ENT> after <ENT> her,3,3,The Bulwark Host Reveals the Aftermath after Hasan Attacked Her,@FarronBalanced; @destiny; @usefulidiots,left,1,3,True
<ENT> arrested for <ENT>,3,3,Florida College Student ARRESTED For Netanyahu Joke,@AnthonyBrianLogan; @StatusCoup; @breakingpoints,left; right,2,3,False
<ENT> at <ENT> finals,3,3,Trump BOOED MERCILESSLY at World Cup finals ,@FarronBalanced; @SabbySabs; @briantylercohen,left,1,3,True
<ENT> congressman <ENT>,3,3,Trump Stunned MAGA Congressman Quits,@JackCocchiarellaShow; @SabbySabs; @TheRealTabithaSpeaks,left,1,3,True
<ENT> defeats <ENT>,3,3,ABDUL EL-SAYED DEFEATS HALEY STEVENS!,@ABCNews; @GlennKirschner2; @HasanAbi,left; neutral,2,3,False
<ENT> down <ENT>,3,3,MAGA Hospitalization SHUTS DOWN Congress,@JackCocchiarellaShow; @SabbySabs; @fightbackpodcast,left; right,2,3,False
<ENT> explains <ENT>,3,3,CANDACE EXPLAINS: The Healthcare Cartel,@ClipsCandaceOwens; @LegalAFMTN; @fightbackpodcast,left; neutral; right,3,3,False
<ENT> exposes <ENT> <ENT>,3,3,Bernie Sanders Exposes US Senate's Scheme To Cut Social Security,@PTLRadioShow; @TheMajorityReport; @marklevinshow,left; right,2,3,False
<ENT> has lost it,3,3,TRUMP HAS LOST IT,@HasanAbi; @ThePodcastoftheLotusEaters; @TimcastIRL,left; right,2,3,False
<ENT> humiliates <ENT>,3,3,Kaitlan Collins Humiliates Another Republican Moron,@JacksonHinkleOfficial; @TheMajorityReport; @thejimmydoreshow,left; neutral,2,3,False
<ENT> is a disaster,3,3,Todd Blanche Is A Disaster,@LegalEagle; @TheMajorityReport; @TheYoungTurks,left,1,3,True
<ENT> is desperate,3,3,Ben Shapiro Is DESPERATE,@LIVESNEAKO; @TheDonLemonShow; @TheMajorityReport,left; neutral,2,3,False
<ENT> is so much worse than you think,3,3,The Gambling Epidemic is So Much Worse Than You Think ,@SecondThought; @SydneyWatson; @TheHumanistReport,left; right,2,3,False
<ENT> judge <ENT>,3,3,America Needs New Allies for Future Ai Wars | Judge Roy Altman,@LegalAFMTN; @RubinReport; @judgingfreedom,left; right,2,3,False
<ENT> major <ENT>,3,3,Trump-Iran Deal Faces Major Cracks Amid Hormuz Crisis,@OwenReport; @aljazeeraenglish; https://rumble.com/c/TheAlexJonesShowLive,left; right,2,3,False
<ENT> now <ENT>,3,3,Iran Now OPENLY TAUNTING Donald Trump!,@OwenReport; @RedactedNews; @thejimmydoreshow,left; neutral; right,3,3,False
<ENT> on <ENT> after <ENT>,3,3,CBS Staffers TURN On Tony Dokoupil After MAGA Pivot,@PTLRadioShow; @TheDamageReport; @fastpoliticspodcast,left,1,3,True
<ENT> on air,3,3,Tucker Carlson ATTACKED Catherine On-Air!,@RebelHQ; @TheDamageReport; @bulwarkmedia,left,1,2,True
<ENT> responds to <ENT>,3,3,Steve Bannon RESPONDS To Epstein Backlash,@JesseKellyDC; @TheDonLemonShow; @TheYoungTurks,left; right,2,3,False
<ENT> right now,3,3,Trump Is Freaking The F**K OUT Right Now,@KimIversen; @TheDonLemonShow; @Vaush,left; neutral,2,3,False
<ENT> rips <ENT>,3,3,Dave Smith RIPS Sam Harris,@TheDamageReport; @TheYoungTurks; @breakingpoints,left,1,2,True
<ENT> roasts <ENT>,3,3,Tim Dillon ROASTS Bari Weiss,@TheDonLemonShow; @TheYoungTurks; @chicksonright,left; right,2,3,False
<ENT> rocked as <ENT>,3,3,Republicans ROCKED As GOP Pollster Reveals Damning Economic Decline,@RebelHQ; @TheDamageReport; @katiephangnews,left,1,2,True
<ENT> says <ENT> 's <ENT>,3,3,Dimon Says JPMorgan's Rivals Are Doing 'Dumb Things',@CamHigby; @markets; @nypost,neutral; right,2,3,False
<ENT> says <ENT> in <ENT>,3,3,Marco Rubio Says Ukraine Strongest Country in Europe,@CamHigby; @DylanBurnsLIVE; @PTLRadioShow,left; right,2,3,False
<ENT> says the quiet part out loud,3,3,Steve Bannon says the quiet part out loud,@FarronBalanced; @RealAmericasVoice; @ThePodcastoftheLotusEaters,left; right,2,3,False
<ENT> shuts down <ENT>,3,3,AOC Completely SHUTS DOWN Fox News With Jesse Watters Reality Check,@JacksonHinkleOfficial; @TheDamageReport; @chicksonright,left; neutral; right,3,3,False
<ENT> to ban <ENT>,3,3,Guys Are Twitch Really Not Going To Ban Mike Lol?,@DueDissidence; @OutKick; @hutch,left; neutral; right,3,3,False
<ENT> to his face,3,3,Joe Rogan PANICS & GASLIGHTS Theo Von TO HIS FACE! | The Kyle Kulinski Show,@RebelHQ; @SabbySabs; @SecularTalk,left,1,3,True
<ENT> under <ENT>,3,3,Pam Bondi THROWS Todd Blanche Under The Bus In Full Epstein Panic,@LegalAFMTN; @SabbySabs; @TheDamageReport,left,1,3,True
actor <ENT> dies at <ENT>,3,3,Actor Robert Carradine dies at 71,@AssociatedPress; @CBSNews; @NBCNews,neutral,1,3,True
best of <ENT> <ENT>,3,3,Best of RAF09 | Fox Nation,@FoxNews; @JustPearlyThings; https://rumble.com/c/nickjfuentes,right,1,3,True
breaking <ENT> arrested,3,3,BREAKING: Peter Mandelson Arrested | #novaralive,@FoxNews; @NovaraMedia; @TheDonLemonShow,left; right,2,3,False
breaking down <ENT>,3,3,Breaking Down the Don Lemon Church Protest Charges with Breaking Points,@CBSNews; @FreshFitMiami; @PiscoLitty,left; neutral; right,3,3,False
i was n't ready for this #,3,3,I wasn't ready for this.,@LiberalHivemind; @RebelNewsOnline; @adammockler,left; right,2,3,False
inside <ENT> <ENT>,3,3,Inside the Fall of Communist Cuba,@Forbes; @NYTPodcasts; @NickShirley,left; neutral; right,3,3,False
it 's happening #,3,3,It's happening...,@JacksonHinkleOfficial; @RebelNewsOnline; @adammockler,left; neutral; right,3,3,False
it 's over for <ENT> #,3,3,It's over for Mitch...,@LiberalHivemind; @adammockler; @harryjsisson,left; right,2,3,False
judge <ENT> <ENT> <ENT>,3,3,Judge Completely Humiliates Texas Republicans,@DailyDenims; @FarronBalanced; @MikeFromPA,left,1,3,True
rep. <ENT> on <ENT>,3,3,Rep. Garcia on Oversight Investigating Trump's Accusations,@fastpoliticspodcast; @markets; @oann,left; neutral; right,3,3,False
responding to <ENT>,3,3,Responding to Hunter Biden Drama | Members Only Bonus Show 09/09/2026,@LukeBeasley; @TheOfficerTatum; @destiny,left; right,2,3,False
search for <ENT> enters <ENT>,3,3,Search for Nancy Guthrie enters fourth day,@ABCNews; @NBCNews; @Reuters,neutral,1,3,True
state of <ENT>,3,3,State of the Union Watch Along,@AlexStein99; @RekietaLaw; https://rumble.com/c/nickjfuentes,right,1,3,True
the truth about <ENT> <ENT>,3,3,"The TRUTH About James Talarico's ""Vegan"" Past",@ActualJusticeWarrior; @Forthepeoplepodcast305; @MegynKelly,left; right,2,3,False
