row_id,creator,title_raw,label_record,label_repeat
13679,@TheMajorityReport,True Story Of Chicago ICE Raid | Melissa Sanchez & Jodi Cohen | TMR,neither,left
13702,@TheMajorityReport,"Ossoff Rips ""Epstein"" Billionaires For Creating Wealth Inequality",neither,left
14006,@TheMajorityReport,Community Orgs Monitoring ICE And Training Immigrants,neither,left
15711,@TheYoungTurks,Bernie Sanders CHALLENGES Chuck Schumer On Israel!,neither,left
16737,@TheYoungTurks,Jillian And Dave Came For Ana. It Didn't Go Well... For Them,left,neither
17664,@Timcast,This one is for you Charlie,neither,right
17677,@Timcast,THESE WOMEN ARE INSANE,right,neither
17679,@Timcast,"DSA CRUSHED, Polls INSANELY WRONG, Trump Gets GOOD NEWS But Democrats STRONG In Midterms",right,neither
17806,@Timcast,THEY STOPPED ANOTHER ASSASSIANTION ATTEMPT,right,neither
17813,@Timcast,"Renee Good Shooting Was SELF DEFENSE, Lawyer Explains Why",left,right
17828,@Timcast,Muslim Says Jews Are LYING About Jewish Population In The World In Wild Debate,neither,right
17880,@TuckerCarlson,"Exposing the Lies of 9/11, JFK, Gaza, and How America Is Being Pushed Toward Nuclear War",left,neither
17885,@TuckerCarlson,BREAKING: Congress Moves to Commit Treason and Allow Israel to Forever Enslave America’s Military,left,neither
17894,@TuckerCarlson,Neocons Move to Merge CIA & Mossad While Netanyahu Desperately Begs Trump Not to Leave His Side,neither,left
17903,@TuckerCarlson,"'Ethical Hacker' Hacks Tucker Live on the Podcast, and Exposes the Satanic Cults Lurking Online",neither,right
17911,@TuckerCarlson,"Rep. Thomas Massie: Battling the Treachery of Trump’s Republican Party, AIPAC, and the Epstein Class",left,neither
17928,@TuckerCarlson,"Dave Smith: Mossad, WWII Myths, FBI Cover-Ups, and Trump’s Critical Next Move in Iran",right,neither
17954,@TuckerCarlson,The Shocking Reality of the Treatment of Christians in the Holy Land by US-Funded Israel,left,neither
17958,@TuckerCarlson,Peter Schiff on Gold’s Dominance Over the S&P and the Plot to Stop You From Noticing,neither,right
17966,@TuckerCarlson,"Megyn Kelly on Venezuela, Ben Shapiro’s Treachery, and Mark Levin’s Mental Illness",neither,right
18069,@Vaush,"MASSIVE NEW ALLEGATIONS DROP AGAINST PLATNER, MORE ON THE WAY",neither,right
18244,@Vaush,IRAN ISN'T LETTING TRUMP ESCAPE THIS WAR,left,neither
18260,@Vaush,Is PRESIDENT TUCKER CARLSON In Our Future?,right,neither
18279,@Vaush,Trump Has Gone Full Israeli Double Agent,right,neither
18313,@Vaush,Everyone Really Does Hate The Democrats,neither,right
18867,@adammockler,Massie Drops FINAL BOMB on Trump,neither,left
19348,@adammockler,Karoline Drops BOMB about Melania FAIL,neither,right
19644,@bennyjohnson,"🚨Milo Yiannopoulos Arrested And DEPORTED by ICE | BANNED from America FOREVER, MUGSHOT Released…",neither,right
19898,@bennyjohnson,🚨Trump CANCELS Schedule! Personally Directing Revenge STRIKE On Iran as Secret Weapon Kill US Troops,right,left
19953,@bennyjohnson,🚨Trump Strikes Iranian NUCLEAR Power Plant in ARMAGEDDON Move | Declares Ceasefire OVER: 'Finished…’,neither,left
19969,@bennyjohnson,🚨Nigel Farage SHOCKS U.K. | Announces He Is RESIGNING From Parliament…,neither,right
20300,@bennyjohnson,🚨BREAKING: Putin and Zelensky Announce Russia-Ukraine War is ENDING | Trump DEAL Changes World...,neither,right
20807,@bennyjohnson,Watch Kid Rock Convert To Christ LIVE on stage…,right,neither
20933,@bennyjohnson,"Jon Stewart TURNS On Clintons, DEMANDS Bill And Hillary Testify on Epstein: ‘They Know Everything…’",neither,right
21362,@breakingpoints,Mearsheimer On Trump: 'HE LOST THE WAR',neither,left
21498,@breakingpoints,"Kamala, Gavin, Shapiro KISS THE ZOHRAN RING As Establishment FREAKS",left,right
21548,@breakingpoints,Iran Talks Nearly BLOWUP After Trump Threatens Negotiators,neither,left
21943,@breakingpoints,TOP Iranian Official ASSASSINATED By Israel As 200 US Troops Wounded,left,neither
22223,@breakingpoints,Will Venezuela Be Trump's Vietnam?,left,neither
22379,@briantylercohen,Supreme Court ABANDONS Trump with SHOCK emergency docket ruling,left,neither
23074,@briantylercohen,BREAKING: Marjorie Taylor Greene EXPOSES Trump-Epstein UPDATE,left,neither
23219,@briantylercohen,World leaders SHOCK Trump amid Greenland threats,left,neither
23410,@deanwithrs,MAGA Man Unmasks HIMSELF In DEFENSE Of Trump,neither,right
23470,@deanwithrs,Brainwashed MAGA Immigrant Believes She's NOT Part of the PROBLEM,right,left
23978,@destiny,Hasan Fan Tries To Trap Democrat... It Backfires,right,neither
24042,@destiny,this PR piece was promised to him 3000 years ago...,neither,left
24135,@destiny,Jon Stewart's Got A Bad Take On The Economy,right,neither
24196,@glennbeck,"Dolly Parton, Secret Russia Trip, & Sharia Law: My Phone Call With The President",right,neither
24292,@glennbeck,The Miraculous Failure That SAVED America in World War II,right,neither
24304,@glennbeck,Is The UK On The Verge of Civil War?! It's Closer Than You Think...,right,neither
24308,@glennbeck,Trump Just Played the Ultimate Power Move In Growing Feud With Senate Republicans,neither,right
24594,@glennbeck,"""PEACE THROUGH STRENGTH"": Why Trump seized a ""Russian flagged"" oil tanker",right,neither
24751,@hutch,Reconciling Polling & Trans Rights,neither,left
24753,@hutch,Responding to Kyle Kulinski's Nasty Smear,neither,left
24785,@hutch,James Carville Picks FIGHT With Hasan Piker While Pod Save America Continues To Sanewash,left,right
24798,@hutch,Destiny Utterly Humiliates George Santos,neither,left
24814,@hutch,All of Hasan's Candidates Lost,right,neither
25326,@podsaveamerica,NEW Details About Trump's Relationship with Israel Exposed in SHOCKING Report,neither,left
25372,@podsaveamerica,Trump Hit with EPSTEIN BOMBSHELL from Former Ally,neither,left
25778,@podsaveamerica,Political Experts React to Democrats’ BEST New Ads,neither,left
26079,@ponderingpolitics,Fox News CONFRONTS Trump TO HIS FACE,neither,left
26174,@ponderingpolitics,Trump ERUPTS on Kash Patel in EMERGENCY MEETING,left,neither
26362,@ponderingpolitics,🚨 BREAKING: Trump ERUPTS as Iran SHOOTS DOWN US chopper,neither,left
27048,@ponderingpolitics,Fox News DROPS BOMB on Trump on LIVE TV,neither,left
27312,@samharrisorg,How Trump Became Immune to Scandal,left,neither
27970,@thedavidpakmanshow,OOPS: JD Vance says NOT SO FAST to Trump,neither,left
28265,@thedavidpakmanshow,She did NOT expect him to DESTROY her question,right,neither
28382,@thedavidpakmanshow,DON JR & KAROLINE ARE COMING AFTER ME,neither,left
28885,@thedavidpakmanshow,Fascism expert has FLED THE COUNTRY,neither,right
28901,@thedavidpakmanshow,KRISTI NOEM IS GETTING IMPEACHED,neither,left
29090,@triggerpod,Comedian DESTROYS Every Triggernometry Guest - Tony Lapidus,left,neither
29154,@triggerpod,The Great British Delusion - Konstantin Kisin,right,neither
29235,@triggerpod,"Meghan Markle, Brigitte Macron, Piers Morgan and Feminism - Christina P",neither,right
29326,@MLChristiansen,"John Doyle on Trusting Trump, 2028 Predictions, Libertarianism, 'Girlboss Chrstianity,' and More",neither,right
29356,@MLChristiansen,Come and Get Me Pam Bondi! | Will She Actually Bring Charges Against Don Lemon and Company?,left,right
29359,@MLChristiansen,Another ICE (CBP) Shooting in Portland | ‘Witness’ Describes the Event,right,neither
29650,@TheOfficerTatum,Rick Chow's Lawyer BLOWS LID OFF on Prosecution For HIDING EVIDENCE To PUT AN INNOCENT MAN In PRISON,neither,right
30260,@therationalnational,No Deal! Mark Carney Rejects Trump's Proposal As Canada Holds Strong,left,neither
30269,@therationalnational,Pierre Poilievre Loses Another While NDP Gain,neither,left
30339,@therationalnational,Druski as Erika Kirk: Oh My God,neither,right
30353,@therationalnational,Trump Starts War With Iran & Mark Carney Betrays Own Davos Speech With Response,neither,left
30401,@SecondThought,The US's Next Victim,left,neither
30403,@SecondThought,Private Equity's Latest Move Is Shocking,neither,left
30409,@SecondThought,Corporations Are Tracking Your Face…And It’s Getting Worse,neither,left
30415,@SecondThought,The New Red Scare is Here,neither,left
30520,@bulwarkmedia,The Data Center Backlash Could Start Costing People Elections (w/ Nathaniel Rich),left,neither
30693,@bulwarkmedia,Even Susan Glasser Is Losing Hope | Bulwark Daily,left,neither
31210,@bulwarkmedia,Tim Miller: The White House Just Threatened Me,neither,left
31341,@bulwarkmedia,$5 Gas Is Just the Beginning. It Gets MUCH Worse. | The Next Level,right,neither
32245,@bulwarkmedia,Sarah Longwell: The Alex Pretti Killing is Actually Breaking Through,neither,left
32367,@bulwarkmedia,Venezuela Was Not Liberated (w/ Quico Toro) | Mona Charen Show,left,neither
32411,@bulwarkmedia,Did a Government Insider Make $400K off the Venezuela Invasion? (w/ Rep. Ritchie Torres),left,neither
32790,@LeejaMiller,Why Is The US Obsessed With Cuba?,neither,left
32811,@LeejaMiller,America's Hasan Piker Problem,right,neither
32817,@LeejaMiller,Jared Kushner's War,neither,left
32826,@LeejaMiller,The Epstein Files Should Radicalize You,left,neither
32878,@PiersMorganUncensored,"""DON'T Want My Kids Living Under Chinese Rule!"" Kevin O'Leary vs Steve Keen | Economy Debate",right,neither
32879,@PiersMorganUncensored,"""It's JARRING!"" Christopher Nolan's 'The Odyssey' DISMANTLED By Victor Davis Hanson & Nerdrotic",neither,right
32881,@PiersMorganUncensored,"'Trump Called Me a Piece of S***!’ Iran War, Lindsey Graham & More | With Ro Khanna & Mehdi Hasan",neither,left
32915,@PiersMorganUncensored,"""Tragic And OBSCENE!"" Is Henry Nowak Death The New George Floyd? + Iran War Debate",right,neither
32970,@PiersMorganUncensored,"'NOT America First!' Tucker Carlson On Iran, Trump, Ben Shapiro, Cruz & More!",neither,right
32974,@PiersMorganUncensored,‘TOTAL Betrayal!’ Can Republicans Survive Trump's War On Iran? + New Ayatollah 'Will Not Last',right,left
33007,@PiersMorganUncensored,"'FROZEN OUT By Ben Shapiro' Piers Morgan x Jeremy Boreing On Candace Owens, Tucker Carlson & Fuentes",right,neither
33020,@PiersMorganUncensored,‘Expecting An Attack Any Day Now” Venezuela Boat Strikes With John Kiriakou & Ed Calderon,left,neither
33023,@PiersMorganUncensored,“I Will NOT STOP!” Candace Owens Meets Erika Kirk | Piers Morgan Interview,right,neither
33067,@zeteo,AIPAC Spent $30m On Michigan Senate Candidate Haley Stevens,neither,left
33127,@zeteo,CEO Silenced Over Gaza? Rutgers Drops Grad Speaker,left,neither
33146,@zeteo,Mehdi PRESSES Congressman on Funding Iron Dome,left,neither
33171,@zeteo,The Attack on Iran Was To ‘Distract Us From The Epstein Files’,left,neither
33192,@zeteo,Six New Names Revealed in Epstein Files - Ro Khanna Reacts,left,neither
33223,@zeteo,Bernie Sanders at Zohran Mamdani's Inauguration: 'We Need a Political REVOLUTION',left,neither
34267,@TheDamageReport,You Won't Believe How Much The BALLROOM Costs Now,left,neither
36337,@TheDamageReport,MAGA Backlash ERUPTS Against Republican Winery After Charlie Kirk Wines Backfire,neither,left
36806,@TheHumanistReport,BREAKING: Virginia Supreme Court Strikes Down Voter-Approved Map in MAJOR Win for GOP,right,neither
37147,@FarronBalanced,Trump Demands Jeanine Pirro Do Reflecting Pool Charges AGAIN,neither,left
37877,@FarronBalanced,Kash Patel Hires WORST LAWYER Possible For Defamation Lawsuit,neither,left
38078,@FarronBalanced,DOJ Collapses As They Lower ALL Standards,neither,left
38554,@FarronBalanced,Leavitt Goes All In Saying Trump MUST Seize Greenland,right,neither
39071,@dollemore,Michele Tafoya SINKS Her Campaign with One Sentence,neither,left
40763,@RebelHQ,Melania TERRIFIED as Epstein Accuser Drops BOMBSHELL!,left,right
40825,@RebelHQ,Ex-CEO of Google Gets BOOED To His FACE for Praising Ai at Graduation,left,neither
40998,@RebelHQ,MAGA Turns on Kash Patel… It’s Getting Ugly,left,neither
41207,@RebelHQ,Republican Senator TORCHES Kristi Noem in Hearing,neither,left
41949,@StatusCoup,Epstein Accountant’s SHOCKING REVELATION on Trump’s Sexual Assault Accuser,left,right
42144,@StatusCoup,"""America Has CONCENTRATION CAMPS""!"" Trump's ICE Compared to Nazis",left,neither
42361,@SMN,Elon Musk Denies USAID Cuts Will Kill 4.5 Million Children,left,neither
42439,@SMN,"Aliens, The X-Files, And How Trump Killed Conspiracy Theories - SOME MORE NEWS",neither,left
42467,@SMN,"Do You Get It Now, Ben? - SOME MORE NEWS",neither,left
42669,@BelleRanch,Let's talk about Trump removing names of the fallen....,neither,left
42717,@BelleRanch,Let's talk about Trump’s mistake of tying his Presidency to the stock market though a bell….,neither,left
42798,@BelleRanch,Let's talk about red flags for Trump's market and what it means ….,left,neither
42953,@BelleRanch,"Let's talk about Trump, Iran, and blackmail....",neither,left
43107,@BelleRanch,Let's talk about the GOP worrying about Texas flipping blue....,left,neither
43111,@BelleRanch,Let's talk about lost faith in Trump’s foreign policy skills in the US....,left,neither
43392,@harryjsisson,Trump's White House Just RESIGNED,left,neither
44187,@aaronparnas1,Republicans BLAST Todd Blanche as Hearing Devolves into DISASTER,neither,left
44277,@aaronparnas1,BREAKING: New Yorkers KICK Trump Out as UFC Cage Match in MAJOR DOUBT,neither,left
44454,@aaronparnas1,BREAKING: Articles of IMPEACHMENT Filed Against Trump Amidst BROKEN Ceasefire with Iran,left,neither
44551,@aaronparnas1,BREAKING: White House CONCERNED as Russia Enters Iran War and Economy TANKS,left,neither
44680,@aaronparnas1,BREAKING: White House PANICS as Trump UNDERMINES Narrative and Reveals His True Beliefs,left,right
44863,@rolandsmartin,"Crazy A$$ White Man Yells N-Word On Plane, Gets Duct-Taped to Seat and Fired",left,neither
45086,@rolandsmartin,Fisk Data Center REVOLT. HBCU Prez Responds To Student & Alumni BACKLASH,neither,left
45176,@rolandsmartin,Black Male vote: Dems better wake da f%^k up,left,neither
45206,@rolandsmartin,“Get Off Your A$$ and Vote.” Gary Chambers Sounds Alarm in Louisiana,left,neither
45281,@rolandsmartin,Trump Attacks the Pope. Pope Leo Fires Back: “I Have No Fear”,left,neither
45399,@rolandsmartin,Stop the Talk. Educate Voters. Organize Texas. Win the Election.,left,neither
45451,@rolandsmartin,“Do You Think You’re Going To H*ll?” Rep. McIver Blasts Acting ICE Director,neither,left
45454,@rolandsmartin,"WTH?!? HBCU Student Told ""Black"" Was Banned. FAMU Says It Was An Error",neither,left
45468,@rolandsmartin,Trump: Don’t call Medgar Evers assassin a racist,left,neither
46872,@DropSiteNews,“Lebanon’s Surrender Agreement”: Hezbollah Expert Amal Saad on Beirut’s “Framework” With Israel,neither,left
46988,@DropSiteNews,"Miko Peled: Should the Left Engage with Tucker Carlson, Right Wing Israel Critics?",neither,left
47012,@DropSiteNews,Exposed: Israel-Emirates Ties Nurtured by Jeffrey Before Abraham Accords,neither,left
47076,@BadFaithPodcast,"Is ""Defund"" The Left's ""Sister Soulja"" Moment? (w/ Eddie Glaude)",left,neither
47099,@BadFaithPodcast,"Empathy Is Bad?: Gad Saad's Anti-Woke Book, + The Left DEFENDS NEW Platner Scandal (w/ Matt McManus)",right,left
47109,@BadFaithPodcast,How Ritchie Torres' & Top Heckler Plans To Oust Him From Congress (w/ Jose Vega),neither,left
47123,@BadFaithPodcast,Tech Overlords Want You To RENT Your Body to AI,neither,left
47136,@BadFaithPodcast,Chomsky FANTASIZED About Epstein's Island (w/ Alan MacLeod),right,neither
47140,@BadFaithPodcast,"""Go F*CK Yourself!"" - Matt Taibbi FLIPS OUT On Civil Liberties Defender (w/ Jenin Younes)",neither,left
47144,@BadFaithPodcast,The CIA Has Been FUNDING The Academic Left (w/ Gabriel Rockhill),neither,left
47150,@BadFaithPodcast,"Why is the LEFT FETISHIZING Graham Platner? (w/Branko Marcetic, Matthew Hoh, & Yasmin Nair)",neither,right
47391,@thejimmydoreshow,PROOF Trump Is BETRAYING East Palestine Residents – Just Like Biden!,neither,left
47460,@thejimmydoreshow,Candace EXPOSES Laura Loomer’s Lies About Charlie Kirk!,right,neither
47550,@thejimmydoreshow,Zionists Now THREATENING Every U.S. Politician With Jewish Money! ,left,neither
47659,@thejimmydoreshow,Candace SKEWERS Ben Shapiro Over Daily Wire’s Collapse!,neither,right
47675,@thejimmydoreshow,Stunning: Ex-Mossad Chief Calls Iran War “A Complete Failure!”,neither,left
47903,@thejimmydoreshow,Megyn Kelly GOES OFF On Lindsey Graham’s Unhinged Warmongering! ,neither,right
48138,@thejimmydoreshow,China Sends Iran Biggest Shipment Of Weapons Ever! w/ Thomas Massie,right,neither
48197,@thejimmydoreshow,FBI’s Latest CRAZY DODGE To Keep Epstein Files Hidden!,right,neither
48468,@KimIversen,The Government’s Charlie Kirk Story Is Unraveling,right,neither
48603,@KimIversen,Castro's Daughter Doesn't Deny Trudeau Is Her Brother,right,neither
48629,@KimIversen,Pro-Israel PAC Runs Fake AI Sex Ad Against Massie,neither,left
48640,@KimIversen,Kash Patel’s Brawls With Senator Over Who's The Drunk,neither,left
49083,@NovaraMedia,Their Plan Is to DESTROY the Middle Class | Aaron Bastani Meets Gary Stevenson,left,neither
49097,@NovaraMedia,Top Economist SLAMS Mainstream Media’s Coverage of Benefits ,left,neither
49117,@NovaraMedia,The Briefing WAR Against Ed Miliband,neither,left
49178,@NovaraMedia,Is RECORD Heatwave Sign Of Climate Catastrophe?!,left,right
49283,@NovaraMedia,EXPERT: Israel’s War Is NOT Going To Plan,left,neither
49286,@NovaraMedia,Is Liberalism FINALLY Waking Up to the Crises It Has Caused? | Aaron Bastani Meets Adrian Wooldridge,left,right
49399,@NovaraMedia,Expert Paul Holden Reveals CONSPIRACY To Silence Labour Critics,right,neither
49411,@NovaraMedia,Farage Announces Reform's New Tory Cabinet | #novaralive,neither,left
49472,@NovaraMedia,Bessent Admits US KILLED Iran’s Economy,left,neither
49494,@NovaraMedia,Palestine Action Hunger Strikers In Critical State,left,neither
49647,@lovettorleaveitpodcast,Reacting to CBS News' EMBARRASSING Coverage of Marco Rubio with George Civeris & Andy Kindler,left,neither
49686,@PoliticsGirl,Let’s Get Our Country Back: A Conversation with Oath’s Brian Derrick,left,neither
49690,@PoliticsGirl,Stop the Cruelty,left,neither
49708,@PoliticsGirl,Bring Back The Law,right,neither
49738,@PoliticsGirl,Trump’s War : Week 1,left,neither
49791,@TheLincolnProject,Rural Hospitals Are Closing and Iowa's Had Enough,left,neither
49925,@chriscuomo,"D.L. Hughley On Trump, Race, And America’s Breaking Point",left,neither
49960,@chriscuomo,Fauci Pleading The Fifth Doesn't Actually Matter,left,right
49961,@chriscuomo,Why Trump Is Getting A Pass On Everything Fauci Did,left,neither
49965,@chriscuomo,Trump Just Handed Democrats Their Best Argument,neither,left
49983,@chriscuomo,Why Trump’s Movement Is About To Destroy Him,neither,left
50013,@chriscuomo,"Winning Midterms, Trumpism, Women's Rise to Power, and Matching Vulgar Ideas with Vulgarity",neither,left
50037,@chriscuomo,The Case For Striking Iran Over Nukes Falls Apart,left,neither
50090,@chriscuomo,Why the FCC Is Going After Colbert,left,neither
50106,@chriscuomo,Trump’s One-Year Reckoning,left,neither
50121,@chriscuomo,Why Copying Trump Keeps Backfiring,neither,left
50139,@MichaelMaliceofficial,Curtis Yarvin on the End of America | “YOUR WELCOME” #431,neither,right
50146,@MichaelMaliceofficial,Dave Landau on Our Idiotacratic America | “YOUR WELCOME” #425,right,neither
50168,@MichaelMaliceofficial,"What Founders Can Teach All of Us, with historian Arthur Herman | “YOUR WELCOME” #412",neither,right
50182,@MichaelMaliceofficial,"""YOUR WELCOME"" with Michael Malice #402: Raw Egg Nationalist",neither,right
50189,@MichaelMaliceofficial,HOW NANCY PELOSI FORCED JOE BIDEN TO DROP OUT,neither,right
50200,@StosselTV,Why Delivery Drones Are Rare (Government Slowed Them Down) and Why We Should Build More,right,neither
50203,@StosselTV,"Don't Give Up! The Full Steve Forbes Interview on Socialism, Innovation & America",right,neither
50204,@StosselTV,"Broken Promises: Presidents (From Clinton to Bush to Obama to Trump) Promise Peace, Deliver War",left,neither
50210,@StosselTV,The FDA Bans Peptides. So Americans Buy Them From Chinese Black Markets,right,neither
50234,@StosselTV,Billions Stolen: Why Government Doesn’t Crack Down on Fraud,neither,right
50241,@StosselTV,Ep 40. Wikipedia Bias,right,neither
50512,@RubinReport,"Platner Holds Democrats Hostage, Trump Ditches New Air Force One | 7/9/26 FIRST LOOK",right,neither
50522,@RubinReport,Dem Goes Viral for Listing Everyone That Needs to Apologize for Platner Disaster,neither,right
51051,@RubinReport,Elon Musk’s Chilling Warning about the Next Election Goes Viral,neither,right
51293,@RubinReport,What Happens Next in Venezuela Will Shock Everyone | Scott Jennings,neither,right
51458,@ColemanHughesOfficial,Why Jason Arday Became a Hero of the Left,right,neither
51467,@ColemanHughesOfficial,Why Progressives Should Love America,neither,left
51475,@ColemanHughesOfficial,Has Canada's Euthanasia Program Gone Too Far?,right,neither
51486,@ColemanHughesOfficial,Civil Rights Legend Has a Message for Today's Activists,neither,left
51488,@ColemanHughesOfficial,The Forgotten History of Slavery in the Islamic World,right,neither
51518,@DarkHorsePod,Are Children Hostages of Their Parents? Bret Weinstein & Heather Heying React to Yale Law Professor,right,neither
51519,@DarkHorsePod,Bret & Heather React to Fauci's Fifth Amendment Defense | DarkHorse 336,right,neither
51522,@DarkHorsePod,Did SARS-CoV-2 Leak Naturally from the Wuhan Institute? | Sonia Elijah on Inside Rail,right,neither
51530,@DarkHorsePod,Turning Britain Around: Rupert Lowe on DarkHorse,right,neither
51547,@DarkHorsePod,"Washington's 9.9% ""Millionaires Tax"" Isn't That Simple | DarkHorse 319",neither,right
51650,@turningpointusa,"Charlie Kirk on Marriage, Faith, and Choosing the Right Spouse",neither,right
51661,@turningpointusa,The Problem With America’s Higher Education System l Nick Freitas,neither,right
