feature,family,text,definition,aggregation
has_finite_verb,syntax,norm (spaCy en_core_web_sm),any VBZ/VBD/VBP/MD (clause vs. noun-phrase title),rate per 100 titles (_p100)
past_tense,syntax,norm (spaCy en_core_web_sm),VBD/VBN,rate per 100 titles (_p100)
present_tense,syntax,norm (spaCy en_core_web_sm),VBZ/VBP,rate per 100 titles (_p100)
modal,syntax,norm (spaCy en_core_web_sm),MD,rate per 100 titles (_p100)
future_will,syntax,norm (spaCy en_core_web_sm),will / gonna / 'll,rate per 100 titles (_p100)
det_share,syntax,norm (spaCy en_core_web_sm),share of DET tokens,mean (_mean)
stopword_share,syntax,norm (spaCy en_core_web_sm),share of tokens in the stopword list,mean (_mean)
propn_share,syntax,norm (spaCy en_core_web_sm),share PROPN,mean (_mean)
noun_share,syntax,norm (spaCy en_core_web_sm),share NOUN,mean (_mean)
verb_share,syntax,norm (spaCy en_core_web_sm),share VERB+AUX,mean (_mean)
adj_share,syntax,norm (spaCy en_core_web_sm),share ADJ,mean (_mean)
adv_share,syntax,norm (spaCy en_core_web_sm),share ADV,mean (_mean)
num_share,syntax,norm (spaCy en_core_web_sm),share NUM,mean (_mean)
vader_neg,sentiment,norm (VADER),VADER negative,mean (_mean)
vader_pos,sentiment,norm (VADER),VADER positive,mean (_mean)
vader_compound,sentiment,norm (VADER),VADER compound,mean (_mean)
formulaic,formulaicity,norm (entities/numbers masked),leading or trailing 3-gram template shared with >= 3 other titles of the same creator x genre,rate per 100 titles (_p100)
