kind,entity,key,n_titles_balanced,share_of_balanced_titles,n_creators,share_by_group,outrage_share,overall_outrage_share,outrage_ratio,surface_forms
person,Kash Patel,patel,440,0.0024,86,left (0.4%); neutral (0.2%); right (0.1%),0.775,0.563,1.38,Kash Patel (361); Patel (40); Priya Patel (10); Bhupendra Patel (6)
person,Jack Smith,smith,422,0.0023,92,right (0.3%); left (0.2%); neutral (0.2%),0.538,0.563,0.96,Jack Smith (132); Stephen A. Smith (72); Dave Smith (55); Warren Smith (24)
person,Keir Starmer,starmer,411,0.0023,42,neutral (0.3%); left (0.3%); right (0.1%),0.499,0.563,0.89,Keir Starmer (233); Starmer (147); PM Starmer (10); Keir Starmer RESIGNS (4)
person,Lindsay Clancy,clancy,408,0.0023,53,neutral (0.5%); right (0.2%); left (0.0%),0.164,0.563,0.29,Lindsay Clancy (385); Patrick Clancy (6); Lindsay Clancy MISTRIAL (3); Lindsay Clancy BROKE (1)
person,Pam Bondi,bondi,403,0.0022,89,left (0.3%); neutral (0.2%); right (0.1%),0.834,0.563,1.48,Pam Bondi (202); Bondi (98); Trump Fires Pam Bondi (4); Pam Bondi OUT (4)
person,Graham Platner,platner,398,0.0022,100,left (0.3%); neutral (0.2%); right (0.2%),0.595,0.563,1.06,Graham Platner (251); Platner (122); Graham Platner Report (2); Graham Platner DROPS OUT (2)
person,Marco Rubio,rubio,370,0.002,84,neutral (0.4%); left (0.1%); right (0.1%),0.403,0.563,0.71,Marco Rubio (259); Rubio (71); Marco Rubio LIVE (9); Marco Rubio DESTROYS (2)
person,Hillary Clinton,clinton,352,0.0019,84,neutral (0.2%); right (0.2%); left (0.1%),0.688,0.563,1.22,Hillary Clinton (184); Bill Clinton (101); Clinton (58); Bill & Hillary Clinton (1)
person,Candace Owens,owens,345,0.0019,65,right (0.3%); neutral (0.2%); left (0.1%),0.699,0.563,1.24,Candace Owens (303); Owens (24); Natasha Owens (9); Laura Owens (2)
person,Stephen Miller,miller,335,0.0019,75,left (0.3%); right (0.1%); neutral (0.1%),0.672,0.563,1.19,Stephen Miller (126); Tim Miller (69); Max Miller (33); Miller (22)
organisation,Trump,trump,8617,0.0476,192,left (7.1%); neutral (4.5%); right (2.0%),0.66,0.563,1.17,Trump (8245); TRUMP (372)
organisation,White House,white house,1502,0.0083,114,neutral (1.2%); left (0.7%); right (0.7%),0.41,0.563,0.73,White House (1488); WHITE HOUSE (11); White HOUSE (1); white house (1)
organisation,GOP,gop,1462,0.0081,105,left (1.1%); right (0.7%); neutral (0.5%),0.722,0.563,1.28,GOP (1461); Gop (1)
organisation,MAGA,maga,973,0.0054,122,left (1.2%); right (0.1%); neutral (0.1%),0.921,0.563,1.63,MAGA (973)
organisation,Senate,senate,958,0.0053,97,neutral (0.9%); right (0.4%); left (0.4%),0.364,0.563,0.65,Senate (935); SENATE (15); senate (8)
organisation,Supreme Court,supreme court,858,0.0047,107,neutral (0.5%); left (0.5%); right (0.4%),0.515,0.563,0.91,Supreme Court (848); SUPREME COURT (8); Supreme court (1); supreme court (1)
organisation,NATO,nato,826,0.0046,86,neutral (0.8%); left (0.4%); right (0.2%),0.522,0.563,0.93,NATO (799); Nato (27)
organisation,FBI,fbi,809,0.0045,115,right (0.6%); neutral (0.4%); left (0.3%),0.714,0.563,1.27,FBI (808); Fbi (1)
organisation,House,house,777,0.0043,95,neutral (0.7%); left (0.3%); right (0.3%),0.395,0.563,0.7,House (765); HOUSE (12)
organisation,Congress,congress,768,0.0042,111,neutral (0.6%); left (0.4%); right (0.3%),0.479,0.563,0.85,Congress (737); congress (19); CONGRESS (12)
organisation,CNN,cnn,565,0.0031,101,right (0.4%); left (0.4%); neutral (0.1%),0.789,0.563,1.4,CNN (561); Cnn (3); cnn (1)
organisation,DHS,dhs,549,0.003,68,neutral (0.5%); right (0.3%); left (0.2%),0.424,0.563,0.75,DHS (549)
organisation,NASA,nasa,436,0.0024,45,neutral (0.6%); right (0.1%); left (0.1%),0.073,0.563,0.13,NASA (431); Nasa (5)
organisation,Pentagon,pentagon,413,0.0023,73,neutral (0.4%); left (0.2%); right (0.1%),0.387,0.563,0.69,Pentagon (410); PENTAGON (3)
organisation,EU,eu,392,0.0022,40,neutral (0.5%); left (0.1%); right (0.1%),0.454,0.563,0.81,EU (392)
organisation,World News,world news,368,0.002,2,neutral (0.7%),0.75,0.563,1.33,World News (368)
organisation,CIA,cia,365,0.002,102,right (0.3%); left (0.2%); neutral (0.2%),0.663,0.563,1.18,CIA (364); Cia (1)
organisation,HasanAbi,hasanabi,347,0.0019,5,left (0.5%); right (0.0%),0.447,0.563,0.79,HasanAbi (336); Hasanabi (11)
organisation,BJP,bjp,344,0.0019,4,neutral (0.7%); left (0.0%),0.326,0.563,0.58,BJP (344)
organisation,Fed,fed,315,0.0017,57,neutral (0.3%); left (0.1%); right (0.1%),0.435,0.563,0.77,Fed (266); FED (41); fed (8)
organisation,Vantage on Firstpost,vantage on firstpost,310,0.0017,1,neutral (0.6%),0.458,0.563,0.81,Vantage on Firstpost (309); Vantage On Firstpost (1)
organisation,ABC News Live,abc news live,305,0.0017,1,neutral (0.6%),0.0,0.563,0.0,ABC News Live (305)
organisation,Fox News,fox news,303,0.0017,58,left (0.4%); right (0.0%); neutral (0.0%),0.898,0.563,1.59,Fox News (297); FOX NEWS (3); FOX News (3)
organisation,REUTERS,reuters,303,0.0017,4,neutral (0.6%); left (0.0%),0.208,0.563,0.37,REUTERS (287); Reuters (16)
organisation,UN,un,275,0.0015,49,neutral (0.3%); left (0.1%); right (0.0%),0.48,0.563,0.85,UN (266); un (6); Un (3)
